,town_name,station_name,station_id,longitude,latitude
75,莲都区,丽_D_莲都北苑小区局,9152,119.916801452637,28.4511850193055
76,莲都区,丽_D_莲都天宁新村局,9153,119.916801452637,28.4511850193055
77,莲都区,丽_D_莲都张山局,9154,119.916801452637,28.4511850193055
78,莲都区,丽_D_莲都赤坑局,9155,119.916801452637,28.4511850193055
79,莲都区,丽_D_莲都沙溪局,9156,119.916801452637,28.4511850193055
80,莲都区,丽_D_莲都吴垵局,9157,119.916801452637,28.4511850193055
81,莲都区,丽_D_莲都行政中心局,9158,119.916801452637,28.4511850193055
82,莲都区,丽_D_莲都金亭路局,9159,119.916801452637,28.4511850193055
83,莲都区,丽_D_莲都岑山路局,9160,119.916801452637,28.4511850193055
84,莲都区,丽_D_莲都上桥局,9161,119.916801452637,28.4511850193055
